Days,Longitude,Latitude,Tilt,DNI,GHI
31,13.06,37.63,18,1800,3
28,13.06,37.63,18,1800,3
31,13.06,37.63,18,1800,4
30,13.06,37.63,18,1800,4
31,13.06,37.63,18,1800,4
30,13.06,37.63,18,1900,5
31,13.06,37.63,18,1900,5
31,13.06,37.63,18,1900,5
30,13.06,37.63,18,1800,4
31,13.06,37.63,18,1800,4
30,13.06,37.63,18,1800,4
31,13.06,37.63,18,1800,3
